      Node Label     U.Magnitude            U.U1            U.U2
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             672         23.0744        -1.24476        -23.0408
             673         23.0744         1.24475         23.0408
             674         23.0561        -23.0226         1.24199
             675         23.0561         23.0226        -1.24197
             676         31.0905    -505.827E-03         31.0864
             677         31.0905     505.828E-03        -31.0864
             678         8.15811        -7.77894         2.45823
             679         8.16351         2.47867         7.77811
             680         8.16369        -2.47864        -7.77832
             681         8.15872         7.77947        -2.45860
             682         28.3720         28.3642     666.682E-03
             683         28.3721        -28.3643    -666.698E-03
             684         28.3147    -671.478E-03         28.3067
             685         28.3147     671.480E-03        -28.3068
             686         17.6420        -17.6412    -159.838E-03
             687         17.6602    -161.884E-03         17.6594
             688         17.6606     162.001E-03        -17.6599
             689         17.6424         17.6416     159.929E-03
             690         43.7906    -240.653E-03         43.7899
             691         43.7382        -43.7374    -253.854E-03
             692         43.7382         43.7374     253.857E-03
             693         43.7906     240.652E-03        -43.7900
             694         31.8046         31.7860         1.08907
             695         31.8047        -31.7860        -1.08907
             696         32.5534        -1.34633        -32.5255
             697         32.5534         1.34633         32.5255
             698         32.4454        -32.4181         1.32897
             699         32.4454         32.4181        -1.32896
             700         34.6224        -34.5545        -2.16698
